Date,Home team,Score,Away team
13-01-2024,Freiburg,0 - 0,Union Berlin
24-01-2024,Bayern Munich,1 - 0,Union Berlin
28-01-2024,Union Berlin,1 - 0,Darmstadt
04-02-2024,RB Leipzig,2 - 0,Union Berlin
07-02-2024,Mainz,1 - 1,Union Berlin
10-02-2024,Union Berlin,1 - 0,Wolfsburg
17-02-2024,Hoffenheim,? - ?,Union Berlin
18-08-2023,Werder Bremen,0 - 4,Bayern Munich
26-08-2023,Freiburg,1 - 0,Werder Bremen
02-09-2023,Werder Bremen,4 - 0,Mainz
17-09-2023,Heidenheim,4 - 2,Werder Bremen
23-09-2023,Werder Bremen,2 - 1,FC Koln
01-10-2023,Darmstadt,4 - 2,Werder Bremen
07-10-2023,Werder Bremen,2 - 3,Hoffenheim
20-10-2023,Dortmund,1 - 0,Werder Bremen
28-10-2023,Werder Bremen,2 - 0,Union Berlin
05-11-2023,Wolfsburg,2 - 2,Werder Bremen
12-11-2023,Werder Bremen,2 - 2,Ein Frankfurt
25-11-2023,Werder Bremen,0 - 3,Leverkusen
02-12-2023,Stuttgart,2 - 0,Werder Bremen
09-12-2023,Werder Bremen,2 - 0,Augsburg
15-12-2023,M''gladbach,2 - 2,Werder Bremen
19-12-2023,Werder Bremen,1 - 1,RB Leipzig
14-01-2024,Bochum,1 - 1,Werder Bremen
21-01-2024,Bayern Munich,0 - 1,Werder Bremen
27-01-2024,Werder Bremen,3 - 1,Freiburg
03-02-2024,Mainz,0 - 1,Werder Bremen
10-02-2024,Werder Bremen,1 - 2,Heidenheim
16-02-2024,FC Koln,? - ?,Werder Bremen
19-08-2023,Wolfsburg,2 - 0,Heidenheim
26-08-2023,FC Koln,1 - 2,Wolfsburg
02-09-2023,Hoffenheim,3 - 1,Wolfsburg
16-09-2023,Wolfsburg,2 - 1,Union Berlin
23-09-2023,Dortmund,1 - 0,Wolfsburg
30-09-2023,Wolfsburg,2 - 0,Ein Frankfurt
07-10-2023,Stuttgart,3 - 1,Wolfsburg
21-10-2023,Wolfsburg,1 - 2,Leverkusen
28-10-2023,Augsburg,3 - 2,Wolfsburg
05-11-2023,Wolfsburg,2 - 2,Werder Bremen
10-11-2023,M''gladbach,4 - 0,Wolfsburg
25-11-2023,Wolfsburg,2 - 1,RB Leipzig
02-12-2023,Bochum,3 - 1,Wolfsburg
09-12-2023,Wolfsburg,0 - 1,Freiburg
16-12-2023,Darmstadt,0 - 1,Wolfsburg
20-12-2023,Wolfsburg,1 - 2,Bayern Munich
13-01-2024,Mainz,1 - 1,Wolfsburg
20-01-2024,Heidenheim,1 - 1,Wolfsburg
27-01-2024,Wolfsburg,1 - 1,FC Koln
04-02-2024,Wolfsburg,2 - 2,Hoffenheim
10-02-2024,Union Berlin,1 - 0,Wolfsburg
17-02-2024,Wolfsburg,? - ?,Dortmund
